words_list,labels
['Good' 'vibe' 'tribe' '.'],['lang1' 'lang1' 'lang1' 'other']
"['beware' '#pmjohnkey' '..' '.' 'maintain' 'distance' 'from' '#Modi' '..'
 '.' 'modi' 'is' 'a' 'natural' 'deception' 'master' 'an' 'a' 'thug' '..'
 '.' 'he' 'will' 'loot' '#NewZealand']","['lang1' 'name' 'other' 'other' 'lang1' 'lang1' 'lang1' 'name' 'other' 'other'
 'name' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'other' 'other' 'lang1' 'lang1' 'lang1' 'name']"
['Angry' 'young' 'men' 'sir' 'ji'],['lang1' 'lang1' 'lang1' 'lang1' 'lang2']
"['Girlfriend' ""'s"" 'Guide' 'To' 'Divorce' 'is' 'the' 'best' 'replacement'
 'for' 'SATCH' 'binge' 'watching' '.']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'other']"
"['Ajay' 'thakur' ',' 'woww' 'this' 'is' 'why' 'kabaddi' 'is' 'gaining'
 'more' 'popularity' 'than' 'cricket' 'these' 'days' '.' '40' 'minutes'
 'of' 'thrilling' 'sensation' '&' 'India' 'are' 'world' 'champions' '.']","['name' 'name' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'name' 'lang1' 'lang1' 'lang1' 'other']"
"['Virat' 'so' 'nice' 'player' 'yar' 'what' 'fielding' 'nd' 'batting'
 'also' 'keep' 'up' 'virat']","['name' 'lang1' 'lang1' 'lang1' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'name']"
['va' 'stept' 'cu' 'drag'],['lang2' 'lang1' 'lang1' 'lang1']
"['U' 'shud' 'feel' 'lucky' '.' 'If' 'I' 'was' 'ur' 'friend' '...' 'id'
 'have' 'snatched' 'the' 'bedsheet' 'and' 'rode' 'away' '.']","['lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other']"
"['India' 'had' 'really' 'emerged' 'as' 'a' 'leading' 'nation' 'under'
 'the' 'Dynamic' 'leadership' 'of' 'Mr.' 'Modi' '.' 'We' 'have' 'to'
 'rule' 'the' 'world' 'in' 'the' '21st' 'Century' '.']","['name' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'name' 'other' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'other']"
"['Vryyyyy' 'happy' 'bday' 'sir' 'may' 'sai' 'Saba' 'always' 'protect' 'u'
 '.']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'name' 'name' 'lang1' 'lang1' 'lang1'
 'other']"
